focus,state,year,result,male,female
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",1999,10.3,1.5,6.0
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2003,6.7,1.6,4.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2005,6.9,1.5,4.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2007,8%,2%,5%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","New York",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2003,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2005,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2007,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Carolina",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",1999,25.1,4.6,15.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2001,22.4,3.5,13.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2003,15.9,4.1,10.3
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2005,18.3,3.4,11.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2007,20%,3%,12%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","North Dakota",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",1999,19.0,3.1,11.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2003,12.8,3.0,8.0
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2005,13.4,2.3,7.9
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2007,17%,2%,10%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Ohio",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2003,23.0,1.7,12.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2005,20.1,1.8,11.0
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2007,25%,2%,14%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oklahoma",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2003,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2005,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2007,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Oregon",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2003,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2005,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2007,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Pennsylvania",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2001,6.1,1.5,3.9
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2003,7.0,2.0,4.6
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2005,6.7,1.5,4.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2007,11%,2%,6%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Rhode Island",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",1999,13.8,1.6,7.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2003,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2005,18.2,3.2,10.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2007,13%,2%,8%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Carolina",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",1999,26.0,6.4,16.4
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2001,24.3,5.7,15.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2003,23.5,6.7,15.3
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2005,20.0,5.1,12.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2007,19%,3%,11%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","South Dakota",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",1999,24.3,2.4,13.6
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2003,21.4,2.7,12.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2005,24.7,3.0,14.0
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2007,23%,3%,13%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Tennessee",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2001,15.6,1.7,8.8
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2003,11.6,1.6,6.8
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2005,12.6,2.3,7.6
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2007,13%,3%,8%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Texas",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",1999,4.0,1.3,2.8
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2001,6.7,0.8,3.8
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2003,4.9,1.2,3.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2005,5.2,2.0,3.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2007,7%,2%,5%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Utah",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",1999,13.1,2.7,8.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2001,8.5,1.6,5.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2003,8.7,1.3,5.2
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2005,13.1,2.1,7.9
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2007,14%,3%,9%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Vermont",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2003,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2005,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2007,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Virginia",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",1999,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2003,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2005,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2007,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Washington",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",1999,28.6,2.0,15.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2001,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2003,23.3,3.3,13.6
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2005,26.5,3.0,14.9
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2007,27%,2%,15%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","West Virginia",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",1999,21.3,3.5,12.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2001,14.2,3.7,9.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2003,13.1,2.4,7.9
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2005,14.4,2.0,8.4
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2007,13%,2%,8%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wisconsin",2008,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",1998,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",1999,28.8,6.0,17.7
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2000,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2001,28.6,6.9,18.1
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2002,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2003,21.1,5.0,13.3
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2004,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2005,22.2,5.9,14.3
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2006,,,
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2007,21%,7%,15%
"27-2c Adolescent use of spit tobacco in past month - Students (grades 9 through 12)","Wyoming",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",1999,26.2,11.9,19.3
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2001,20.1,11.4,15.9
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2003,15.7,10.0,13.0
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2005,26.9,10.5,18.7
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2007,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alabama",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",1999,15.1,6.9,11.7
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2001,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2003,11.7,3.5,7.8
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2005,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2007,14%,6%,10%
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Alaska",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",1999,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2001,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2003,20.0,8.7,14.2
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2005,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2007,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arizona",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",1999,25.7,12.7,19.3
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2001,27.7,10.6,19.3
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2003,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2005,20.7,14.0,17.6
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2007,24%,11%,17%
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Arkansas",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",1999,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2001,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2003,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2005,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2007,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","California",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",1999,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2001,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2003,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2005,21.6,11.0,16.4
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2007,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Colorado",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",1999,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2001,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2003,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2005,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2006,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2007,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Connecticut",2008,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",1998,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",1999,21.7,8.1,15.2
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",2000,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",2001,18.3,7.2,12.7
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",2002,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",2003,15.6,8.5,12.2
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",2004,,,
"27-2d Adolescent use of cigars in past month - Students (grades 9 through 12)","Delaware",2005,15.6,7.0,11.3
