Focus area: 27-Tobacco Use - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw   data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 footnote,2006 data,raw   data,se   data,2007 footnote,2007 data,raw   data,se   data,2008 data,2008 raw value,2008 se
                 Male,,---,.,.,,27%,26.7,2.1,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,16%,15.6,1.0,,---,.,.,,10%,10.4,2.7,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,22%,21.9,2.9,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,14%,14.4,1.8,,---,.,.,,12%,11.9,3.1,---,.,.
                 10th grade,,---,.,.,,25%,25.4,2.0,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,17%,16.7,2.5,,---,.,.,,13%,12.7,2.9,---,.,.
                 11th grade,,---,.,.,,34%,34.1,1.7,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,12%,12.5,1.9,,---,.,.,,10%,10.0,3.1,---,.,.
                 12th grade,,---,.,.,,32%,32.3,4.0,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,23%,22.6,2.5,,---,.,.,,16%,16.1,3.8,---,.,.
              STATE:Idaho,,---,.,.,,DNC,.,.,,---,.,.,,19%,19.1,2.0,,---,.,.,,14%,14.0,1.2,,---,.,.,,16%,15.8,1.3,,---,.,.,,20%,20.0,1.6,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,18%,18.0,3.1,,---,.,.,,24%,24.0,3.2,,---,.,.,,20%,20.4,3.2,,---,.,.,,24%,23.6,2.3,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,19%,18.9,2.1,,---,.,.,,13%,13.1,1.3,,---,.,.,,15%,15.5,1.4,,---,.,.,,20%,19.5,1.8,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,19%,18.7,2.1,,---,.,.,,13%,12.9,1.3,,---,.,.,,15%,15.2,1.4,,---,.,.,,19%,19.2,1.9,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,17%,17.1,2.4,,---,.,.,,14%,13.6,1.2,,---,.,.,,13%,13.3,1.4,,---,.,.,,20%,19.8,2.4,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,21%,20.7,2.5,,---,.,.,,14%,14.2,1.7,,---,.,.,,18%,18.3,2.1,,---,.,.,,20%,19.9,2.1,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,12%,11.9,2.3,,---,.,.,,11%,11.1,1.5,,---,.,.,,14%,13.7,2.8,,---,.,.,,15%,15.0,2.1,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,16%,15.9,2.1,,---,.,.,,15%,15.2,1.3,,---,.,.,,13%,13.1,2.2,,---,.,.,,22%,21.5,2.6,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,21%,21.4,2.4,,---,.,.,,14%,14.4,1.9,,---,.,.,,18%,17.7,2.1,,---,.,.,,20%,19.9,2.7,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,28%,28.1,3.1,,---,.,.,,16%,15.5,3.4,,---,.,.,,19%,19.3,2.8,,---,.,.,,23%,23.2,2.9,---,.,.
              STATE:Illinois,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,20%,19.9,1.6,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,19%,19.2,2.4,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,20%,19.9,1.8,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,8%,8.0,1.4,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.1,2.6,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,22%,21.8,1.9,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,18%,18.1,2.1,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,12%,12.0,2.7,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,20.8,1.9,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,21.0,3.1,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,28%,27.8,3.8,---,.,.
              STATE:Indiana,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,26%,25.6,1.2,,---,.,.,,22%,21.9,2.0,,---,.,.,,22%,22.5,2.5,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.0,3.7,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,26%,25.5,1.2,,---,.,.,,22%,21.8,2.1,,---,.,.,,22%,22.1,2.6,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,12%,11.9,3.1,,---,.,.,,9%,9.4,2.4,,---,.,.,,16%,15.6,2.5,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,27%,27.1,1.4,,---,.,.,,23%,23.4,2.0,,---,.,.,,23%,23.1,2.9,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,26%,25.7,1.3,,---,.,.,,21%,20.5,2.4,,---,.,.,,20%,19.9,2.5,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,26%,25.6,1.8,,---,.,.,,23%,23.2,2.3,,---,.,.,,25%,24.6,2.8,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,19%,19.0,1.3,,---,.,.,,21%,20.6,3.2,,---,.,.,,17%,16.9,2.5,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,22%,22.3,2.0,,---,.,.,,22%,21.8,2.6,,---,.,.,,21%,20.6,2.9,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,26%,25.6,3.8,,---,.,.,,23%,22.7,3.1,,---,.,.,,23%,23.3,2.4,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,37%,37.4,2.3,,---,.,.,,23%,22.9,4.1,,---,.,.,,30%,30.0,5.0,---,.,.
              STATE:Iowa,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,22%,22.2,1.6,,---,.,.,,19%,18.9,1.8,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,22%,21.6,1.5,,---,.,.,,19%,18.7,1.9,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,21.0,1.5,,---,.,.,,19%,18.7,1.9,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,20%,20.4,2.0,,---,.,.,,20%,20.2,2.2,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,24%,24.0,2.2,,---,.,.,,18%,17.7,2.8,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,15%,14.5,3.3,,---,.,.,,13%,13.3,2.0,---,.,.
                 10th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,19%,18.9,2.3,,---,.,.,,15%,15.4,2.2,---,.,.
                 11th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,27%,27.3,2.3,,---,.,.,,21%,20.8,2.4,---,.,.
                 12th grade,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,29%,29.3,2.9,,---,.,.,,26%,26.0,3.3,---,.,.
              STATE:Kansas,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,21.0,2.1,,---,.,.,,21%,20.6,1.2,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,17%,16.7,2.4,,---,.,.,,21%,20.6,3.0,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,21.3,2.3,,---,.,.,,21%,20.6,1.4,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,16%,15.9,1.7,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,22%,21.8,2.4,,---,.,.,,21%,21.0,1.5,---,.,.
                 Female,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,20%,20.1,2.2,,---,.,.,,21%,21.2,1.3,---,.,.
                 Male,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,22%,21.7,2.3,,---,.,.,,20%,20.1,1.8,---,.,.
                 Less than high school,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 9th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,14%,14.1,2.6,,---,.,.,,14%,14.2,2.1,---,.,.
                 10th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,21%,20.7,2.7,,---,.,.,,18%,17.6,2.2,---,.,.
                 11th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,27%,26.6,2.4,,---,.,.,,19%,19.4,1.7,---,.,.
                 12th grade,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DSU,.,.,,---,.,.,,23%,23.0,4.8,,---,.,.,,32%,32.2,3.6,---,.,.
              STATE:Kentucky,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,33%,32.7,2.0,,---,.,.,,26%,26.2,1.5,,---,.,.,,26%,26.0,1.0,---,.,.
                 American Indian or Alaska Native only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Asian or Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                    Asian only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Black or African American only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 White only,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DNA,.,.,---,.,.
                 2 or more races,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNA,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,---,.,.
                 Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,32%,32.1,4.9,---,.,.
                 Not Hispanic or Latino,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,32%,32.4,2.0,,---,.,.,,26%,26.1,1.5,,---,.,.,,26%,25.7,1.0,---,.,.
"                    Black or African American only, not Hisp/Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,15%,14.9,4.4,,---,.,.,,14%,14.4,3.1,---,.,.
"                    White only, not Hispanic or Latino",,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,34%,34.2,1.8,,---,.,.,,27%,27.4,1.2,,---,.,.,,27%,27.0,1.1,---,.,.
                 Female,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,33%,33.4,2.1,,---,.,.,,26%,26.0,2.1,,---,.,.,,26%,25.8,0.9,---,.,.
                 Male,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,32%,31.8,2.4,,---,.,.,,26%,26.4,1.7,,---,.,.,,26%,26.2,1.5,---,.,.
                 Less than high school,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 High school graduate,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
                 At least some college,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
              Sexual orientation,,---,.,.,,DSU,.,.,,---,.,.,,DSU,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.
