Focus area: 19-Nutrition and Overweight - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,raw   data,se   data,1999 footnote,1999 data,raw   data,se   data,2000 footnote,2000 data,raw  data,se   data,2001 footnote,2001 data,raw   data,se   data,2002 footnote,2002 data,raw   data,se   data,2003 footnote,2003 data,raw   data,se   data,2004 footnote,2004 data,raw   data,se   data,2005 footnote,2005 data,raw   data,se   data,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Male,1,33%,32.9,1.7,1,28%,27.8,1.5,1,28%,28.5,1.6,1,27%,27.0,1.4,1,26%,26.2,1.4,1,28%,27.9,1.4,1,26%,26.2,1.5,1,24%,23.8,1.4,---,.,.,---,.,.,---,.,.
               Less than high school,1,30%,29.6,2.8,1,26%,25.6,2.6,1,30%,30.2,2.8,1,32%,32.2,2.6,1,26%,25.6,2.5,1,32%,31.5,2.6,1,30%,30.2,2.6,1,27%,27.3,2.7,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,32%,32.4,5.5,1,30%,29.7,5.0,1,30%,30.1,5.3,1,31%,31.2,4.8,1,19%,19.4,3.3,1,28%,27.9,5.7,1,38%,38.0,5.7,1,22%,22.4,5.2,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,28%,28.5,3.4,1,22%,21.9,2.9,1,31%,31.0,3.4,1,34%,33.9,3.1,1,27%,26.8,3.0,1,31%,30.8,2.9,1,28%,27.8,3.0,1,28%,28.4,3.1,---,.,.,---,.,.,---,.,.
               High school graduate,1,36%,35.8,1.8,1,32%,31.6,1.6,1,34%,34.2,1.7,1,28%,28.5,1.5,1,29%,29.3,1.4,1,30%,30.4,1.5,1,28%,28.4,1.5,1,28%,27.9,1.4,---,.,.,---,.,.,---,.,.
               At least some college,1,39%,39.0,1.9,1,36%,36.0,1.7,1,35%,35.2,1.8,1,33%,33.1,1.5,1,30%,30.4,1.4,1,36%,35.6,1.5,1,32%,32.4,1.4,1,29%,29.3,1.2,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,42%,42.2,2.6,1,42%,42.0,2.5,1,36%,36.5,2.6,1,36%,36.1,2.3,1,31%,30.8,2.0,1,36%,36.3,2.1,1,34%,34.1,1.9,1,31%,31.0,1.8,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,27.1,2.0,,DNC,.,.,1,30%,29.9,2.0,1,24%,24.1,2.0,1,27%,26.7,2.2,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.9,1.2,,DNC,.,.,1,37%,36.9,1.1,1,36%,35.7,1.2,1,32%,32.0,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,48%,48.0,2.2,1,41%,40.9,2.0,1,42%,42.4,2.0,1,40%,39.9,1.9,1,37%,36.5,1.8,1,39%,38.5,1.9,1,38%,38.0,1.9,1,35%,35.5,2.1,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,29%,29.5,1.7,1,27%,27.5,1.6,1,30%,29.8,1.7,1,27%,26.5,1.4,1,25%,24.7,1.3,1,30%,30.1,1.4,1,28%,27.9,1.3,1,26%,26.1,1.2,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,36%,36.0,2.0,1,34%,34.0,1.8,1,34%,34.1,2.1,1,31%,30.7,1.6,1,35%,34.9,1.6,1,35%,35.2,1.6,1,31%,31.0,1.5,1,29%,28.6,1.2,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,1,29%,29.4,2.3,,DNC,.,.,1,25%,24.7,2.0,,DNC,.,.,1,27%,27.3,1.8,,DNC,.,.,1,DNC,24.9,1.9,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,1,37%,36.5,1.3,,DNC,.,.,1,36%,36.2,1.2,,DNC,.,.,1,38%,38.2,1.2,,DNC,.,.,1,DNC,34.2,1.2,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,23%,22.5,6.5,1,17%,17.4,5.4,1,10%,9.9,3.5,1,11%,11.2,4.5,1,16%,15.5,3.6,1,18%,17.6,3.5,1,9%,8.7,2.1,1,13%,12.7,3.9,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,40%,39.5,1.2,1,35%,35.3,1.1,1,38%,37.6,1.2,1,34%,34.5,1.0,1,33%,33.5,1.0,1,36%,36.1,1.0,1,35%,35.1,1.0,1,33%,32.5,1.0,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,,DNC,.,.,1,22%,21.7,1.9,,DNC,.,.,1,19%,18.9,1.8,,DNC,.,.,1,20%,19.6,1.6,,DNC,.,.,1,DNC,17.3,2.0,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,,DNC,.,.,1,39%,39.1,1.3,,DNC,.,.,1,39%,38.7,1.2,,DNC,.,.,1,41%,40.6,1.2,,DNC,.,.,1,DNC,36.1,1.2,---,.,.,---,.,.,---,.,.
            STATE:Wisconsin,1,40%,39.9,1.3,1,40%,40.0,1.2,1,38%,38.3,1.1,1,38%,37.7,1.0,1,38%,37.6,0.9,1,36%,36.5,1.0,1,35%,35.4,0.9,1,33%,32.8,1.0,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,49.6,10.6,"1,2",DSU,29.3,10.0,"1,2",DSU,23.7,7.9,1,49%,48.8,7.9,1,36%,35.8,7.6,1,DSU,37.8,10.1,1,28%,28.0,7.4,1,DSU,42.7,10.7,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,68.4,10.2,1,DSU,72.9,7.5,1,DSU,23.3,5.3,1,DSU,67.1,10.5,1,DSU,36.9,9.2,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,63.1,0.0,1,DSU,3.1,4.0,1,DSU,19.1,14.9,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",29%,29.0,4.8,"1,2",31%,30.5,5.5,"1,2",37%,36.6,4.7,1,27%,27.1,3.9,1,20%,20.1,2.6,1,22%,22.5,3.0,1,20%,20.1,2.6,1,31%,30.9,3.1,---,.,.,---,.,.,---,.,.
               White only,"1,2",40%,40.2,1.3,"1,2",40%,39.9,1.2,"1,2",38%,38.3,1.2,1,38%,37.9,1.0,1,38%,38.3,0.9,1,37%,36.8,1.0,1,36%,36.4,1.0,1,33%,32.7,1.0,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,32.1,7.9,1,DSU,38.2,8.2,1,DSU,33.9,8.4,1,DSU,29.5,6.1,1,DSU,27.7,7.7,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,32.1,9.1,1,DSU,43.3,10.8,1,DSU,39.9,9.6,1,DSU,34.8,7.9,1,DSU,15.8,6.4,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,39.4,11.3,1,DSU,3.9,3.9,1,DSU,32.8,9.0,1,DSU,39.8,11.9,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,DSU,22.2,6.9,1,DSU,28.2,8.9,1,34%,34.4,8.1,1,33%,33.1,7.1,1,25%,24.8,5.3,1,30%,29.7,5.3,1,22%,21.7,5.2,1,28%,28.4,6.6,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,40%,40.2,1.3,1,40%,40.4,1.2,1,38%,38.4,1.1,1,38%,37.8,1.0,1,38%,37.9,0.9,1,37%,36.6,1.0,1,36%,35.7,0.9,1,33%,32.9,1.0,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",29%,29.3,4.8,"1,2",30%,30.3,5.5,"1,2",36%,35.9,4.7,1,27%,27.3,4.0,1,20%,20.1,2.7,1,21%,21.4,2.9,1,21%,20.5,2.6,1,30%,30.5,3.1,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",40%,40.2,1.3,"1,2",40%,40.3,1.2,"1,2",38%,38.4,1.2,1,38%,38.0,1.1,1,38%,38.4,1.0,1,37%,36.9,1.0,1,37%,36.7,1.0,1,33%,32.9,1.0,---,.,.,---,.,.,---,.,.
               Female,1,48%,48.1,1.8,1,50%,49.8,1.6,1,47%,46.7,1.5,1,43%,43.3,1.3,1,45%,45.3,1.2,1,44%,44.2,1.3,1,42%,42.4,1.2,1,40%,39.7,1.3,---,.,.,---,.,.,---,.,.
               Male,1,32%,31.6,1.8,1,30%,29.9,1.8,1,30%,30.0,1.5,1,32%,31.8,1.4,1,30%,29.9,1.3,1,29%,28.6,1.4,1,29%,28.7,1.3,1,26%,25.9,1.4,---,.,.,---,.,.,---,.,.
               Less than high school,1,30%,30.3,4.6,1,31%,30.5,5.0,1,34%,33.8,3.7,1,30%,29.6,4.0,1,26%,25.9,3.3,1,24%,24.0,4.2,1,24%,24.0,3.3,1,26%,25.7,3.3,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,35%,35.3,12.3,1,20%,20.1,9.4,1,21%,20.6,6.1,1,18%,18.3,6.3,1,20%,19.9,7.8,1,18%,18.0,5.8,1,22%,22.1,6.4,1,25%,24.7,7.9,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,29%,28.9,4.7,1,33%,33.0,5.4,1,36%,35.6,4.2,1,34%,34.2,4.9,1,28%,27.6,3.6,1,25%,24.6,4.7,1,24%,24.2,3.8,1,26%,26.0,3.7,---,.,.,---,.,.,---,.,.
               High school graduate,1,37%,36.6,2.1,1,33%,33.2,2.0,1,35%,34.5,1.9,1,29%,29.4,1.6,1,32%,31.9,1.5,1,32%,31.9,1.6,1,29%,29.2,1.6,1,28%,28.2,1.5,---,.,.,---,.,.,---,.,.
               At least some college,1,40%,40.4,1.9,1,41%,41.1,1.7,1,39%,39.3,1.5,1,41%,41.3,1.4,1,38%,38.2,1.2,1,36%,36.2,1.2,1,37%,37.1,1.2,1,33%,32.7,1.1,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,42%,42.3,2.7,1,47%,47.2,2.5,1,45%,44.6,2.2,1,46%,46.3,1.9,1,39%,39.2,1.7,1,38%,38.5,1.7,1,41%,40.8,1.6,1,33%,32.6,1.6,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,30.4,2.3,1,37%,37.1,3.5,1,30%,30.5,2.4,1,26%,25.6,2.3,1,25%,25.1,2.1,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,39.3,1.1,1,38%,38.3,1.0,1,38%,38.0,1.1,1,37%,37.5,1.0,1,34%,34.4,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,49%,48.9,2.2,1,50%,50.4,2.0,1,45%,45.2,1.9,1,45%,45.3,1.8,1,46%,45.5,1.6,1,44%,44.1,1.8,1,41%,41.3,1.7,1,40%,39.9,2.0,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,34%,34.1,2.0,1,33%,33.3,1.9,1,34%,34.5,1.6,1,32%,32.5,1.5,1,31%,31.3,1.3,1,31%,31.2,1.3,1,31%,31.3,1.3,1,27%,27.3,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,34%,33.9,2.4,1,33%,32.8,2.2,1,33%,32.8,2.1,1,33%,33.0,2.0,1,34%,34.0,1.6,1,32%,31.8,1.7,1,32%,31.8,1.5,1,30%,29.5,1.4,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,27%,26.9,2.7,1,27%,27.5,2.4,,DNC,.,.,1,29%,28.8,2.2,,DNC,.,.,1,DNC,26.8,2.2,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,41%,41.1,1.3,1,40%,39.9,1.2,,DNC,.,.,1,40%,39.5,1.2,,DNC,.,.,1,DNC,36.1,1.1,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,23%,23.4,7.7,1,19%,18.7,6.8,1,37%,37.2,5.3,1,19%,19.4,5.5,1,18%,17.8,4.9,1,20%,19.7,5.9,1,17%,16.6,5.9,1,22%,21.8,5.1,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,41%,40.5,1.3,1,41%,41.3,1.2,1,39%,39.5,1.1,1,39%,39.0,1.0,1,39%,38.7,0.9,1,38%,37.8,1.0,1,37%,36.7,0.9,1,34%,34.0,1.0,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,1,25%,24.6,3.0,1,21%,20.6,2.1,,DNC,.,.,1,21%,20.8,2.1,,DNC,.,.,1,19%,18.9,2.1,,DNC,.,.,1,DNC,22.4,2.4,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,1,43%,43.3,1.5,1,44%,43.8,1.4,,DNC,.,.,1,42%,42.1,1.2,,DNC,.,.,1,41%,40.8,1.1,,DNC,.,.,1,DNC,37.1,1.1,---,.,.,---,.,.,---,.,.
            STATE:Wyoming,1,44%,44.0,1.2,1,41%,40.8,1.2,1,41%,40.8,1.1,1,41%,40.9,1.0,1,40%,40.0,1.0,1,40%,39.7,0.9,1,39%,39.2,0.9,1,35%,35.1,0.9,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"1,2",DSU,39.2,10.2,"1,2",DSU,19.9,7.0,"1,2",DSU,12.9,5.5,1,DSU,31.0,7.4,1,52%,51.6,6.8,1,28%,28.2,6.3,1,27%,27.5,6.1,1,23%,23.0,6.0,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,74.5,11.4,1,DSU,68.5,14.0,1,DSU,47.9,9.5,1,DSU,71.9,12.2,1,DSU,52.0,11.8,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,65.4,15.7,1,DSU,29.7,6.8,---,.,.,---,.,.,---,.,.
               Black or African American only,"1,2",DSU,20.8,14.3,"1,2",DSU,20.5,8.3,"1,2",DSU,49.4,10.6,1,DSU,36.1,13.6,1,DSU,12.2,10.3,1,DSU,44.9,11.9,1,DSU,17.7,10.2,1,DSU,27.1,9.4,---,.,.,---,.,.,---,.,.
               White only,"1,2",44%,44.2,1.2,"1,2",41%,41.4,1.2,"1,2",42%,41.9,1.2,1,41%,41.1,1.0,1,40%,40.2,1.0,1,40%,40.4,0.9,1,40%,39.8,0.9,1,36%,35.6,0.9,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,43.5,9.0,1,40%,40.4,7.3,1,33%,33.5,6.7,1,27%,27.5,6.1,1,33%,33.2,5.9,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,43.9,9.9,1,DSU,34.8,8.5,1,DSU,21.6,6.9,1,DSU,19.8,5.8,1,37%,36.6,7.5,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.6,0.0,1,DSU,0.0,0.0,1,DSU,100.0,0.0,1,DSU,59.1,23.9,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,37%,36.5,5.1,1,32%,32.3,4.3,1,35%,34.9,4.8,1,45%,44.7,5.4,1,34%,34.1,3.9,1,32%,31.6,4.0,1,27%,27.3,3.8,1,34%,34.3,3.5,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,44%,44.5,1.2,1,41%,41.2,1.2,1,41%,41.1,1.2,1,41%,40.8,1.0,1,41%,40.5,1.0,1,40%,40.3,0.9,1,40%,39.7,0.9,1,35%,35.1,0.9,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","1,2",DSU,20.8,14.3,"1,2",DSU,21.8,9.1,"1,2",DSU,46.1,10.9,1,DSU,36.1,13.6,1,DSU,12.2,10.3,1,DSU,44.9,11.9,1,DSU,17.7,10.2,1,DSU,30.2,10.1,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","1,2",45%,44.6,1.2,"1,2",42%,41.7,1.2,"1,2",42%,41.7,1.2,1,41%,41.0,1.1,1,40%,40.3,1.1,1,41%,40.6,1.0,1,40%,40.1,1.0,1,35%,35.5,0.9,---,.,.,---,.,.,---,.,.
               Female,1,50%,50.5,1.5,1,48%,48.5,1.6,1,48%,48.2,1.5,1,48%,48.0,1.3,1,47%,47.1,1.3,1,48%,48.4,1.2,1,49%,48.8,1.2,1,41%,41.0,1.1,---,.,.,---,.,.,---,.,.
               Male,1,37%,37.5,1.8,1,33%,33.4,1.6,1,34%,33.6,1.7,1,34%,34.1,1.5,1,33%,33.2,1.5,1,31%,31.3,1.3,1,30%,30.1,1.3,1,29%,29.2,1.3,---,.,.,---,.,.,---,.,.
               Less than high school,1,27%,26.7,4.2,1,35%,34.8,4.9,1,36%,35.8,4.6,1,33%,32.5,4.0,1,28%,28.4,4.0,1,36%,36.3,3.9,1,30%,30.5,3.8,1,33%,33.0,3.5,---,.,.,---,.,.,---,.,.
                  Less than 9th grade,1,DSU,28.5,10.6,1,DSU,17.7,5.5,1,DSU,28.9,10.1,1,31%,30.6,8.6,1,13%,13.4,4.2,1,30%,30.3,10.9,1,21%,20.7,6.5,1,DSU,13.3,4.2,---,.,.,---,.,.,---,.,.
                  Grades 9 through 11,1,26%,26.0,4.6,1,37%,36.9,5.7,1,36%,36.5,5.0,1,33%,32.9,4.6,1,30%,29.9,4.4,1,39%,38.6,4.3,1,33%,33.4,4.4,1,36%,36.5,3.9,---,.,.,---,.,.,---,.,.
               High school graduate,1,42%,41.6,2.1,1,36%,36.3,2.0,1,38%,37.5,2.1,1,34%,34.2,1.7,1,38%,37.7,1.8,1,35%,34.5,1.6,1,35%,34.7,1.6,1,30%,29.6,1.4,---,.,.,---,.,.,---,.,.
               At least some college,1,44%,44.0,1.6,1,41%,40.6,1.5,1,41%,40.8,1.5,1,41%,40.7,1.3,1,39%,39.5,1.3,1,40%,39.7,1.2,1,39%,39.4,1.1,1,36%,36.3,1.0,---,.,.,---,.,.,---,.,.
                  College graduate and above,1,46%,46.1,2.3,1,44%,43.7,2.4,1,44%,43.6,2.4,1,43%,42.8,2.0,1,42%,41.7,1.8,1,42%,41.9,1.7,1,43%,42.7,1.6,1,42%,42.5,1.4,---,.,.,---,.,.,---,.,.
                  Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,36%,36.4,2.5,,DNC,.,.,1,38%,37.6,2.2,1,33%,32.9,2.3,1,30%,30.2,2.1,---,.,.,---,.,.,---,.,.
                  Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,42%,41.9,1.1,,DNC,.,.,1,41%,40.5,1.0,1,40%,40.1,1.0,1,36%,36.2,0.9,---,.,.,---,.,.,---,.,.
                  Persons aged 20 to 39 years (not age adjusted),1,52%,52.0,1.9,1,47%,46.7,2.0,1,45%,45.4,2.0,1,48%,48.4,1.9,1,47%,46.6,1.8,1,46%,45.6,1.7,1,45%,44.9,1.8,1,39%,38.9,1.7,---,.,.,---,.,.,---,.,.
                  Persons aged 40 to 59 years (not age adjusted),1,40%,39.5,1.9,1,38%,37.6,1.8,1,37%,37.0,1.7,1,35%,34.6,1.4,1,34%,33.6,1.4,1,36%,35.5,1.3,1,36%,35.6,1.2,1,30%,30.2,1.1,---,.,.,---,.,.,---,.,.
                  Persons aged 60 years and over (not age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
                  adjusted),1,38%,37.6,2.3,1,36%,35.9,2.2,1,39%,38.9,2.4,1,38%,38.3,2.0,1,39%,38.9,2.0,1,37%,36.6,1.6,1,35%,35.4,1.5,1,36%,36.3,1.3,---,.,.,---,.,.,---,.,.
               Persons with arthritis,,DNC,.,.,,DNC,.,.,1,35%,35.3,3.0,1,30%,30.2,2.6,,DNC,.,.,1,35%,34.8,2.1,,DNC,.,.,1,DNC,28.6,2.0,---,.,.,---,.,.,---,.,.
               Persons without arthritis,,DNC,.,.,,DNC,.,.,1,43%,42.6,1.4,1,43%,43.0,1.1,,DNC,.,.,1,42%,41.9,1.1,,DNC,.,.,1,DNC,37.6,1.0,---,.,.,---,.,.,---,.,.
               Persons with diabetes,1,23%,22.6,8.4,1,21%,21.2,5.6,1,27%,26.9,8.1,1,27%,26.9,6.4,1,25%,25.4,6.8,1,15%,15.1,3.2,1,12%,12.4,4.2,1,7%,7.4,1.4,---,.,.,---,.,.,---,.,.
               Persons without diabetes,1,45%,44.8,1.2,1,42%,41.7,1.2,1,42%,41.9,1.2,1,42%,41.6,1.0,1,41%,41.2,1.0,1,41%,41.0,0.9,1,41%,40.8,0.9,1,37%,36.9,0.9,---,.,.,---,.,.,---,.,.
               Persons with high blood pressure,1,27%,27.1,2.2,1,22%,22.0,2.3,,DNC,.,.,1,25%,24.8,2.2,,DNC,.,.,1,21%,21.2,2.5,,DNC,.,.,1,DNC,18.7,1.7,---,.,.,---,.,.,---,.,.
               Persons without high blood pressure,1,49%,48.7,1.4,1,45%,45.5,1.4,,DNC,.,.,1,44%,44.5,1.2,,DNC,.,.,1,45%,44.8,1.0,,DNC,.,.,1,DNC,39.4,1.0,---,.,.,---,.,.,---,.,.
                                                        ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"19-2 Obesity in adults (age adjusted, aged 20 years and over)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
            STATE:Alabama,1,22%,21.9,1.1,1,23%,23.1,1.1,1,24%,24.1,1.1,1,25%,24.9,1.0,1,26%,26.0,1.0,1,29%,29.0,1.0,1,30%,29.6,1.0,1,31%,31.3,1.2,---,.,.,---,.,.,---,.,.
            Race and ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               American Indian or Alaska Native only,"3,1",DSU,7.4,6.1,"3,1",DSU,55.4,10.1,"3,1",DSU,11.7,6.0,1,DSU,17.0,5.8,1,DSU,23.7,7.4,1,DSU,47.9,9.4,1,DSU,37.7,10.7,1,DSU,34.1,10.4,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,"3,1",DSU,0.0,0.0,"3,1",DSU,16.3,10.4,"3,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,7.9,5.4,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,4.9,4.6,1,DSU,0.0,0.0,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,61.6,0.0,---,.,.,---,.,.,---,.,.
               Black or African American only,"3,1",30%,29.8,2.3,"3,1",32%,32.3,2.6,"3,1",34%,33.9,2.6,1,37%,37.0,2.4,1,37%,36.9,2.4,1,39%,38.5,2.1,1,42%,42.0,2.1,1,42%,41.8,2.6,---,.,.,---,.,.,---,.,.
               White only,"3,1",20%,20.3,1.3,"3,1",20%,20.1,1.2,"3,1",22%,21.8,1.2,1,22%,22.0,1.1,1,23%,23.0,1.1,1,27%,26.6,1.1,1,26%,26.1,1.1,1,29%,28.6,1.3,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,26.6,8.4,1,DSU,34.0,4.9,1,DSU,18.0,5.7,1,DSU,28.8,9.5,1,DSU,21.0,8.1,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,13.9,7.6,1,DSU,36.9,5.6,1,DSU,13.5,5.1,1,DSU,14.6,6.6,1,DSU,13.6,5.2,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.9,0.0,1,DSU,3.9,4.0,1,DSU,40.0,14.4,1,DSU,11.2,9.5,1,DSU,32.4,15.7,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,1,23%,22.9,4.5,1,DSU,19.4,6.6,1,DSU,10.0,4.2,1,DSU,11.5,4.2,1,26%,26.4,5.5,1,DSU,16.4,4.6,1,31%,30.9,5.9,1,28%,28.1,7.3,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,1,22%,21.7,1.1,1,23%,23.1,1.1,1,24%,24.2,1.1,1,25%,25.1,1.0,1,26%,25.7,1.0,1,29%,29.3,1.0,1,29%,29.4,1.0,1,31%,31.3,1.2,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","3,1",30%,30.1,2.4,"3,1",32%,32.0,2.6,"3,1",35%,34.7,2.6,1,37%,37.1,2.4,1,36%,36.0,2.3,1,39%,39.1,2.1,1,42%,41.8,2.1,1,42%,41.7,2.6,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,1",20%,20.2,1.3,"3,1",20%,20.3,1.2,"3,1",22%,21.8,1.2,1,22%,22.1,1.1,1,23%,23.0,1.1,1,27%,26.7,1.1,1,26%,26.0,1.1,1,29%,28.7,1.3,---,.,.,---,.,.,---,.,.
            Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Female,1,20%,20.1,1.2,1,24%,24.2,1.5,1,25%,24.9,1.4,1,25%,24.8,1.2,1,26%,25.7,1.2,1,31%,31.1,1.2,1,30%,30.0,1.2,1,30%,29.8,1.3,---,.,.,---,.,.,---,.,.
               Male,1,24%,23.5,1.8,1,22%,21.8,1.7,1,23%,22.9,1.7,1,25%,24.8,1.5,1,26%,26.1,1.6,1,27%,27.0,1.5,1,29%,28.9,1.5,1,33%,32.7,1.9,---,.,.,---,.,.,---,.,.
            Education level (persons aged 25 years and over),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
               Less than high school,1,29%,29.5,3.6,1,34%,33.7,3.3,1,31%,30.8,3.7,1,29%,29.3,3.0,1,34%,33.9,3.7,1,33%,33.3,3.1,1,36%,35.8,2.9,1,34%,34.1,3.2,---,.,.,---,.,.,---,.,.
