Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,98%,98.2,.,,---,.,.,,98%,98.4,.,,---,.,.,,99%,98.7,.,,---,.,.,,99%,98.7,.,---,.,.,---,.,.
            STATE:Minnesota,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,46%,46.1,.,,---,.,.,,46%,46.1,.,,---,.,.,,51%,50.5,.,,---,.,.,,51%,50.9,.,---,.,.,---,.,.
            STATE:Mississippi,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,67%,67.1,.,,---,.,.,,78%,77.9,.,,---,.,.,,80%,79.7,.,,---,.,.,,80%,79.7,.,---,.,.,---,.,.
            STATE:Missouri,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,22%,22.2,.,,---,.,.,,24%,23.8,.,,---,.,.,,29%,29.4,.,,---,.,.,,31%,31.3,.,---,.,.,---,.,.
            STATE:Montana,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,70%,69.8,.,,---,.,.,,70%,69.5,.,,---,.,.,,70%,69.8,.,,---,.,.,,70%,69.8,.,---,.,.,---,.,.
            STATE:Nebraska,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,66%,66.2,.,,---,.,.,,69%,69.4,.,,---,.,.,,68%,68.2,.,,---,.,.,,72%,72.0,.,---,.,.,---,.,.
            STATE:Nevada,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,43%,43.0,.,,---,.,.,,43%,42.7,.,,---,.,.,,43%,42.6,.,,---,.,.,,43%,42.6,.,---,.,.,---,.,.
            STATE:New Hampshire,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,16%,15.5,.,,---,.,.,,21%,20.8,.,,---,.,.,,22%,21.6,.,,---,.,.,,23%,22.6,.,---,.,.,---,.,.
            STATE:New Jersey,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  Black or African American, not Hispanic/Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
"                  White, not Hispanic or Latino",,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Female,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Male,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Less than high school,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               High school graduate,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               At least some college,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons with disabilities,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Persons without disabilities,,---,.,.,,---,.,.,,77%,76.7,.,,---,.,.,,77%,76.5,.,,---,.,.,,77%,77.0,.,,---,.,.,,77%,77.0,.,---,.,.,---,.,.
            STATE:New Mexico,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Asian or Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Asian,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Black or African American,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               White,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,---,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,,---,.,.,,DNC,.,.,---,.,.,---,.,.
