Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.4,4.0,,DNC,.,.,1,32%,32.0,4.3,1,19%,19.2,4.2,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,36.5,3.0,,DNC,.,.,1,37%,37.5,3.4,1,39%,38.7,4.6,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,46%,46.1,5.4,,DNC,.,.,1,43%,42.5,6.0,1,29%,28.7,4.5,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,32.4,2.7,,DNC,.,.,1,30%,30.1,2.8,1,32%,31.7,4.0,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,47.5,10.7,1,31%,31.2,3.1,,DNC,.,.,1,32%,31.8,3.2,1,27%,27.4,3.7,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,64.9,9.8,1,55%,54.8,3.9,,DNC,.,.,1,41%,41.4,3.4,1,45%,45.0,6.0,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,46%,45.9,9.8,,DNC,.,.,1,50%,49.8,10.5,1,45%,45.0,10.2,---,.,.,---,.,.
              STATE:Arizona,,DNC,.,.,1,34%,33.7,3.6,1,34%,34.0,4.5,,DNC,.,.,,DNC,.,.,1,31%,31.4,2.6,,DNC,.,.,1,18%,18.3,1.9,1,30%,30.4,3.6,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,30.2,7.2,"2,1",DSU,17.4,8.7,,DNC,.,.,,DNC,.,.,1,DSU,45.2,11.6,,DNC,.,.,1,58%,57.5,9.2,1,DSU,52.9,12.4,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,"2,1",DSU,69.9,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,53.2,22.4,,DNC,.,.,1,DSU,31.5,3.5,1,DSU,0.0,0.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.5,14.7,,DNC,.,.,1,DSU,53.9,22.8,1,DSU,8.2,7.8,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,62.1,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,29.8,13.4,,DNC,.,.,1,DSU,9.9,6.0,1,DSU,23.1,11.4,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",39%,39.1,4.8,"2,1",36%,36.5,5.2,,DNC,.,.,,DNC,.,.,1,31%,31.1,3.1,,DNC,.,.,1,16%,16.3,2.2,1,34%,34.0,4.5,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,15.4,11.3,,DNC,.,.,1,DSU,4.4,3.1,1,DSU,55.4,20.4,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,22.2,18.3,,DNC,.,.,1,DSU,5.0,4.8,1,DSU,88.7,6.1,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,23.3,5.6,1,DSU,27.3,6.6,,DNC,.,.,,DNC,.,.,1,33%,33.4,6.4,,DNC,.,.,1,19%,18.6,3.9,1,19%,19.0,4.7,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,40%,39.8,4.7,1,35%,34.9,5.1,,DNC,.,.,,DNC,.,.,1,31%,31.1,2.9,,DNC,.,.,1,18%,18.4,2.1,1,34%,34.3,4.3,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,62.1,0.0,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,1,DSU,31.2,14.1,,DNC,.,.,1,DSU,9.9,6.0,1,DSU,23.0,11.4,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",41%,41.0,5.1,"2,1",38%,37.8,5.4,,DNC,.,.,,DNC,.,.,1,30%,30.1,3.2,,DNC,.,.,1,16%,16.3,2.3,1,34%,34.2,4.6,---,.,.,---,.,.
                 Female,,DNC,.,.,1,30%,29.6,4.3,1,33%,33.0,5.9,,DNC,.,.,,DNC,.,.,1,35%,34.7,3.8,,DNC,.,.,1,18%,18.5,2.3,1,28%,27.6,3.9,---,.,.,---,.,.
                 Male,,DNC,.,.,1,38%,38.2,5.6,1,36%,35.8,7.0,,DNC,.,.,,DNC,.,.,1,29%,29.0,3.6,,DNC,.,.,1,18%,18.0,2.8,1,33%,33.1,5.8,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,DSU,29.1,7.8,1,DSU,20.4,7.2,,DNC,.,.,,DNC,.,.,1,43%,43.1,9.4,,DNC,.,.,1,17%,17.5,4.1,1,DSU,22.6,6.4,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,24%,24.2,5.6,1,38%,37.9,6.5,,DNC,.,.,,DNC,.,.,1,36%,35.5,6.1,,DNC,.,.,1,17%,16.9,3.1,1,20%,20.0,4.6,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,41%,41.3,5.5,1,35%,34.9,6.4,,DNC,.,.,,DNC,.,.,1,31%,31.0,2.9,,DNC,.,.,1,20%,19.9,2.6,1,33%,32.9,4.3,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,39%,38.9,5.8,,DNC,.,.,1,22%,21.8,3.5,1,40%,40.5,7.1,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,28.1,3.0,,DNC,.,.,1,16%,16.3,2.1,1,27%,26.8,4.1,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,38%,37.6,5.1,1,24%,24.2,5.2,,DNC,.,.,1,DSU,39.1,10.7,1,25%,25.3,3.3,,DNC,.,.,1,16%,15.8,2.3,1,25%,25.2,4.5,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,45%,44.7,6.1,1,59%,58.8,10.2,,DNC,.,.,1,52%,51.9,7.5,1,48%,48.0,3.5,,DNC,.,.,1,27%,27.2,2.9,1,44%,43.9,4.5,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,51%,51.2,4.9,1,37%,37.1,6.2,,DNC,.,.,,DNC,.,.,1,47%,46.9,10.3,,DNC,.,.,1,27%,27.2,5.7,1,24%,24.4,5.1,---,.,.,---,.,.
              STATE:Arkansas,,DNC,.,.,1,28%,27.8,1.8,,DNC,.,.,1,31%,30.7,2.0,,DNC,.,.,1,33%,32.5,1.8,,DNC,.,.,1,23%,23.3,1.4,1,34%,33.7,2.2,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,13.5,8.3,,DNC,.,.,1,DSU,9.2,5.7,,DNC,.,.,1,DSU,22.3,7.9,,DNC,.,.,1,DSU,7.5,3.4,1,DSU,31.7,8.5,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,71.9,28.6,,DNC,.,.,1,DSU,58.5,17.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,63.9,0.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,36.1,0.0,,DNC,.,.,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",18%,18.2,3.9,,DNC,.,.,1,27%,27.3,5.3,,DNC,.,.,1,21%,20.6,4.0,,DNC,.,.,1,27%,26.6,4.7,1,22%,22.4,7.1,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",29%,29.1,2.0,,DNC,.,.,1,32%,32.1,2.3,,DNC,.,.,1,35%,34.8,2.0,,DNC,.,.,1,24%,23.5,1.6,1,35%,34.9,2.4,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,9.0,3.8,,DNC,.,.,1,DSU,29.6,7.3,,DNC,.,.,1,DSU,24.9,8.3,1,DSU,39.3,12.8,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,9.8,4.1,,DNC,.,.,1,DSU,30.1,7.7,,DNC,.,.,1,DSU,22.6,9.4,1,DSU,27.2,10.8,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,36.1,0.0,,DNC,.,.,1,DSU,15.0,9.5,1,DSU,55.8,31.9,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,20.8,7.0,,DNC,.,.,1,DSU,37.2,10.7,,DNC,.,.,1,DSU,54.4,12.3,,DNC,.,.,1,DSU,18.6,7.2,1,DSU,35.4,10.5,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,28%,28.2,1.9,,DNC,.,.,1,30%,29.7,2.0,,DNC,.,.,1,32%,32.1,1.8,,DNC,.,.,1,24%,23.6,1.5,1,34%,33.8,2.2,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",17%,16.5,3.7,,DNC,.,.,1,24%,24.3,5.1,,DNC,.,.,1,19%,18.5,3.4,,DNC,.,.,1,26%,25.6,4.8,1,20%,20.1,7.3,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",30%,29.6,2.1,,DNC,.,.,1,31%,31.1,2.3,,DNC,.,.,1,35%,34.6,2.0,,DNC,.,.,1,24%,23.6,1.6,1,35%,35.3,2.5,---,.,.,---,.,.
                 Female,,DNC,.,.,1,25%,24.9,2.1,,DNC,.,.,1,33%,33.3,2.8,,DNC,.,.,1,36%,35.5,2.4,,DNC,.,.,1,27%,27.2,2.1,1,33%,33.4,2.6,---,.,.,---,.,.
                 Male,,DNC,.,.,1,31%,30.8,3.0,,DNC,.,.,1,28%,28.0,2.9,,DNC,.,.,1,30%,29.6,2.6,,DNC,.,.,1,20%,19.9,2.0,1,34%,34.2,3.6,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,24%,23.9,4.0,,DNC,.,.,1,26%,25.8,4.9,,DNC,.,.,1,28%,27.8,4.8,,DNC,.,.,1,17%,17.1,2.7,1,39%,38.5,6.8,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,25%,25.3,2.7,,DNC,.,.,1,29%,29.1,3.3,,DNC,.,.,1,29%,29.4,2.5,,DNC,.,.,1,19%,19.0,1.9,1,28%,27.5,3.1,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,31%,31.2,2.6,,DNC,.,.,1,33%,33.2,2.8,,DNC,.,.,1,38%,37.9,2.4,,DNC,.,.,1,30%,29.8,2.0,1,40%,40.4,2.8,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,34%,34.4,4.4,,DNC,.,.,1,33%,32.7,3.3,,DNC,.,.,1,27%,27.0,2.8,1,35%,35.4,3.8,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.3,2.4,,DNC,.,.,1,32%,31.9,2.1,,DNC,.,.,1,22%,21.7,1.7,1,33%,33.0,2.7,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,24%,23.7,2.2,,DNC,.,.,1,27%,27.4,2.5,1,31%,30.5,5.7,1,29%,28.5,2.2,,DNC,.,.,1,19%,19.3,1.8,1,31%,30.8,2.8,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,42%,42.0,3.0,,DNC,.,.,1,42%,41.7,2.8,1,51%,50.6,5.2,1,46%,45.7,2.1,,DNC,.,.,1,37%,36.6,1.8,1,47%,47.3,2.5,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,47%,47.4,5.2,,DNC,.,.,1,45%,44.9,7.2,,DNC,.,.,1,41%,41.4,5.5,,DNC,.,.,1,40%,40.5,5.2,1,40%,40.0,4.7,---,.,.,---,.,.
              STATE:California,,DNC,.,.,,DNC,.,.,1,32%,32.1,2.5,,DNC,.,.,,DNC,.,.,1,28%,27.7,1.6,,DNC,.,.,1,20%,20.4,1.2,1,27%,27.5,2.1,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,"2,1",DSU,24.8,14.0,,DNC,.,.,,DNC,.,.,1,DSU,29.7,8.1,,DNC,.,.,1,DSU,12.7,4.5,1,DSU,11.2,3.8,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,"2,1",DSU,33.2,11.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,24.7,6.8,,DNC,.,.,1,20%,20.4,5.1,1,DSU,34.2,8.6,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.3,9.2,,DNC,.,.,1,DSU,23.8,11.4,1,DSU,51.9,17.3,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,"2,1",DSU,34.2,8.1,,DNC,.,.,,DNC,.,.,1,32%,31.8,6.1,,DNC,.,.,1,14%,13.5,3.1,1,41%,41.2,11.8,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,"2,1",32%,32.3,2.7,,DNC,.,.,,DNC,.,.,1,27%,27.4,1.8,,DNC,.,.,1,21%,21.1,1.4,1,26%,25.7,2.0,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,23.3,9.2,,DNC,.,.,1,28%,28.0,7.9,1,27%,26.9,6.2,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,18.6,11.3,,DNC,.,.,1,DSU,29.0,9.0,1,DSU,27.7,11.2,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,20.2,10.5,,DNC,.,.,1,DSU,2.9,3.1,1,DSU,40.2,27.8,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,1,20%,19.7,4.1,,DNC,.,.,,DNC,.,.,1,23%,22.7,3.1,,DNC,.,.,1,18%,17.8,2.1,1,25%,25.2,4.1,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,1,38%,38.1,2.8,,DNC,.,.,,DNC,.,.,1,30%,29.5,1.8,,DNC,.,.,1,23%,22.5,1.6,1,29%,28.6,2.1,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,"2,1",DSU,32.7,7.9,,DNC,.,.,,DNC,.,.,1,34%,33.7,6.4,,DNC,.,.,1,16%,15.6,3.7,1,24%,24.1,6.2,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,"2,1",40%,39.5,3.1,,DNC,.,.,,DNC,.,.,1,30%,29.8,2.0,,DNC,.,.,1,23%,23.3,1.9,1,27%,27.3,2.4,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,1,36%,35.7,3.3,,DNC,.,.,,DNC,.,.,1,28%,28.3,2.1,,DNC,.,.,1,20%,20.0,1.5,1,25%,24.8,2.1,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,1,27%,27.4,3.5,,DNC,.,.,,DNC,.,.,1,27%,26.9,2.4,,DNC,.,.,1,21%,20.7,1.9,1,31%,30.5,3.6,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,1,DSU,27.5,7.0,,DNC,.,.,,DNC,.,.,1,24%,24.0,4.4,,DNC,.,.,1,17%,16.6,2.8,1,24%,24.5,4.9,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,1,34%,33.6,5.1,,DNC,.,.,,DNC,.,.,1,30%,30.3,3.7,,DNC,.,.,1,25%,25.1,3.2,1,23%,22.9,3.8,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,1,38%,38.0,3.5,,DNC,.,.,,DNC,.,.,1,30%,30.1,2.0,,DNC,.,.,1,23%,22.6,1.7,1,33%,32.7,2.4,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,33%,32.8,3.5,,DNC,.,.,1,28%,27.5,3.1,1,26%,25.8,3.2,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,25.5,1.8,,DNC,.,.,1,18%,18.4,1.4,1,27%,27.3,2.5,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,1,27%,27.4,2.9,,DNC,.,.,1,40%,40.2,7.6,1,23%,23.1,1.9,,DNC,.,.,1,16%,16.3,1.5,1,22%,22.4,2.5,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,1,44%,44.2,4.8,,DNC,.,.,1,50%,50.3,6.8,1,42%,42.1,2.7,,DNC,.,.,1,33%,33.2,2.2,1,41%,41.3,3.0,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,1,30%,30.4,5.1,,DNC,.,.,,DNC,.,.,1,38%,38.2,5.0,,DNC,.,.,1,28%,27.7,4.9,1,37%,36.6,5.2,---,.,.,---,.,.
              STATE:Colorado,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,30.8,2.4,1,31%,31.4,1.7,1,35%,35.2,2.0,,DNC,.,.,1,31%,30.8,1.5,1,41%,40.8,2.1,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,41.1,15.8,1,DSU,47.9,10.4,1,DSU,19.8,11.0,,DNC,.,.,1,DSU,33.1,12.0,1,DSU,55.3,14.2,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,25.9,12.5,1,DSU,39.5,24.2,,DNC,.,.,1,DSU,50.8,15.9,1,DSU,48.5,14.6,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,100.0,0.0,1,DSU,50.0,35.4,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.5,10.7,1,DSU,11.7,6.3,1,DSU,34.2,10.9,,DNC,.,.,1,DSU,29.1,8.1,1,DSU,45.3,10.5,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.9,2.6,1,33%,32.6,1.9,1,35%,35.5,2.1,,DNC,.,.,1,30%,30.3,1.7,1,39%,39.3,2.3,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.0,12.7,1,DSU,21.5,8.9,1,DSU,46.4,14.7,,DNC,.,.,1,DSU,31.4,9.7,1,DSU,35.5,8.8,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,47.0,15.2,1,DSU,34.5,19.2,1,DSU,10.1,5.9,,DNC,.,.,1,DSU,32.5,14.7,1,DSU,21.7,8.5,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,79.9,19.5,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,23.1,21.9,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.5,6.3,1,26%,25.7,4.4,1,31%,30.8,4.8,,DNC,.,.,1,35%,34.6,4.3,1,47%,47.3,6.4,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.1,2.6,1,32%,32.3,1.9,1,36%,35.9,2.1,,DNC,.,.,1,30%,30.2,1.7,1,39%,39.4,2.2,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.5,10.7,1,DSU,11.7,6.3,1,DSU,34.2,10.9,,DNC,.,.,1,DSU,29.9,8.2,1,DSU,44.8,11.1,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.3,2.6,1,34%,33.7,2.0,1,36%,35.7,2.2,,DNC,.,.,1,29%,29.5,1.7,1,39%,38.5,2.3,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,30.7,3.1,1,33%,32.8,2.3,1,35%,35.2,2.5,,DNC,.,.,1,38%,37.7,2.1,1,44%,43.6,2.7,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.3,3.8,1,30%,30.3,2.5,1,35%,35.2,2.9,,DNC,.,.,1,25%,24.8,2.2,1,38%,37.8,3.4,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.8,14.7,1,27%,26.7,6.6,1,DSU,28.4,7.6,,DNC,.,.,1,17%,16.5,3.1,1,DSU,42.9,9.0,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,35.4,4.7,1,31%,31.5,3.5,1,30%,29.9,3.5,,DNC,.,.,1,27%,26.8,2.9,1,35%,34.9,4.4,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.0,2.9,1,36%,35.8,2.2,1,39%,38.9,2.3,,DNC,.,.,1,34%,34.3,1.8,1,46%,45.7,2.4,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,34.5,5.0,,DNC,.,.,1,37%,36.9,3.8,,DNC,.,.,1,34%,34.3,3.5,1,33%,33.0,3.3,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.2,2.8,,DNC,.,.,1,35%,34.6,2.3,,DNC,.,.,1,29%,29.5,1.7,1,43%,43.1,2.5,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,1,26%,26.5,3.0,1,DSU,39.2,7.6,1,30%,29.6,2.3,,DNC,.,.,1,27%,27.0,1.9,1,36%,35.6,2.7,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,1,46%,45.8,4.1,1,62%,62.4,8.0,1,52%,51.6,2.6,,DNC,.,.,1,40%,40.4,2.0,1,56%,55.9,2.7,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.4,5.6,1,46%,46.0,6.7,1,45%,45.4,6.8,,DNC,.,.,1,38%,38.4,4.9,1,58%,58.3,5.6,---,.,.,---,.,.
              STATE:Connecticut,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,32.0,1.5,1,34%,34.0,1.5,1,24%,23.6,1.7,1,35%,35.1,1.8,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,51.8,19.6,1,DSU,12.3,8.8,1,DSU,21.5,16.3,1,DSU,38.1,19.2,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,64.3,12.5,1,DSU,22.1,8.3,1,DSU,0.9,1.0,1,DSU,48.5,17.8,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,36.1,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,19.7,20.4,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,30%,29.8,5.4,1,32%,31.7,4.9,1,29%,28.7,5.9,1,40%,40.0,6.1,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,31.5,1.6,1,36%,35.7,1.8,1,23%,23.2,1.9,1,36%,35.9,2.1,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.8,10.4,1,DSU,8.4,8.0,1,DSU,22.9,6.4,1,DSU,12.4,7.5,---,.,.,---,.,.
